Isin,Name,Asset,Region,Volatility,Strategy
IE00BGCSB447,iShares USD Ultrashort Bond UCITS ETF USD (Acc),Bonds,World,8.0,Long-only
IE000APK27S2,iShares Global Aggregate Bond ESG UCITS ETF EUR Hedged (Acc),Bonds,World,9.24,Long-only
IE00B14X4N27,iShares MSCI Europe ex-UK UCITS ETF,Equity,Europe,14.89,Long-only
IE00B9MRHC27,Xtrackers MSCI Nordic UCITS ETF 1D,Equity,Europe,18.16,Long-only
IE00BYXVGX24,Fidelity US Quality Income UCITS ETF,Equity,,16.69,Long-only
IE00B53L4350,iShares Dow Jones Industrial Average UCITS ETF (Acc),Equity,,15.71,Long-only
IE00B9F5YL18,Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF Distributing,Equity,Asia & Pacific,14.96,Long-only
FR0013041530,BNP Paribas Easy S&P 500 UCITS ETF EUR Hedged,Equity,,17.54,Long-only
LU2109787551,Amundi MSCI Emerging ESG Leaders - UCITS ETF DR (C),Equity,Emerging Markets,14.87,Long-only
IE00BL6K8D99,iShares MSCI EMU Paris-Aligned Climate UCITS ETF EUR (Acc),Equity,Europe,16.57,Long-only
IE00B02KXH56,iShares MSCI Japan UCITS ETF (Dist),Equity,,19.77,Long-only
DE000ETFL284,Deka MSCI Europe UCITS ETF,Equity,Europe,14.01,Long-only
IE00BLRPPV00,Vanguard U.S. Treasury 0-1 Year Bond UCITS ETF (USD) Accumulating,Bonds,,7.92,Long-only
LU1931975152,Amundi Prime Euro Govies UCITS ETF DR (D),Bonds,Europe,7.17,Long-only
IE00B0M63060,iShares UK Dividend UCITS ETF,Equity,,15.69,Long-only
IE00BG47KH54,Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Accumulating,Bonds,World,9.66,Long-only
IE00BYZK4776,iShares Healthcare Innovation UCITS ETF,Equity,World,19.48,Long-only
LU0290357259,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1C,Bonds,Europe,8.45,Long-only
IE00B4L5ZY03,iShares EUR Corporate Bond ex-Financials 1-5yr ESG UCITS ETF EUR (Dist),Bonds,World,2.89,Long-only
IE00BFM6TD65,iShares J.P. Morgan USD Emerging Markets Corp Bond UCITS ETF USD (Acc),Bonds,Emerging Markets,8.02,Long-only
IE00B4K6B022,HSBC EURO STOXX 50 UCITS ETF EUR,Equity,Europe,17.74,Long-only
IE00BD4TXV59,UBS ETF (IE) MSCI World UCITS ETF (USD) A-acc,Equity,World,15.43,Long-only
LU0290357176,Xtrackers Eurozone Government Bond 5-7 UCITS ETF 1C,Bonds,Europe,6.11,Long-only
IE000I8KRLL9,iShares MSCI Global Semiconductors UCITS ETF USD (Acc),Equity,World,27.77,Long-only
IE00BHZRQZ17,Franklin FTSE India UCITS ETF,Equity,,14.33,Long-only
IE00B52SF786,iShares MSCI Canada UCITS ETF (Acc),Equity,,16.36,Long-only
IE00BZ163H91,Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,Bonds,Europe,7.29,Long-only
IE00B14X4M10,iShares MSCI North America UCITS ETF,Equity,North America,18.17,Long-only
IE00B5M1WJ87,SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),Equity,Europe,13.55,Long-only
IE00B1FZS913,iShares Euro Government Bond 15-30yr UCITS ETF (Dist),Bonds,Europe,15.6,Long-only
LU1681046931,Amundi CAC 40 ESG UCITS ETF DR - EUR (C),Equity,,17.18,Long-only
