Isin,Name,Asset,Region,Volatility,Strategy
LU1681044563,Amundi MSCI Emerging Markets Asia UCITS ETF USD,Equity,Asia & Pacific,16.47,Long-only
LU0147308422,UBS ETF (LU) MSCI EMU UCITS ETF (EUR) A-dis,Equity,Europe,16.52,Long-only
IE00BCRY6227,iShares USD Ultrashort Bond UCITS ETF,Bonds,World,8.8,Long-only
LU1169821292,UBS ETF (LU) MSCI United Kingdom UCITS ETF (hedged to EUR) A-acc,Equity,,17.09,Long-only
IE00BM67HQ30,Xtrackers MSCI World Utilities UCITS ETF 1C,Equity,World,15.96,Long-only
IE00BG11HV38,iShares MSCI World ESG Enhanced UCITS ETF USD (Dist),Equity,World,15.72,Long-only
DE0002635273,iShares DivDAX UCITS ETF (DE),Equity,,17.65,Long-only
IE00BDDRDW15,iShares J.P. Morgan ESG USD EM Bond UCITS ETF,Bonds,Emerging Markets,9.17,Long-only
LU1459801517,UBS ETF (LU) Bloomberg TIPS 1-10 UCITS ETF (USD) A-acc,Bonds,,9.41,Long-only
LU1681047319,Amundi EURO STOXX 50 UCITS ETF DR - EUR (D),Equity,Europe,17.76,Long-only
IE00B3VTN290,iShares Euro Government Bond 7-10yr UCITS ETF (Acc),Bonds,Europe,8.56,Long-only
IE00BF2FN869,Invesco US Treasury Bond 7-10 Year UCITS ETF EUR Hedged Dist,Bonds,,12.54,Long-only
GB00B15KXV33,WisdomTree WTI Crude Oil,Commodities,,35.06,Long-only
IE00BMX0B631,Vanguard USD Treasury Bond UCITS ETF EUR Hedged Accumulating,Bonds,,10.7,Long-only
IE00B60SWW18,Invesco STOXX Europe 600 UCITS ETF,Equity,Europe,14.34,Long-only
IE00B5SG8Z57,HSBC MSCI Pacific ex Japan UCITS ETF USD,Equity,Asia & Pacific,14.45,Long-only
DE000A0F5UK5,iShares STOXX Europe 600 Basic Resources UCITS ETF (DE),Equity,Europe,25.85,Long-only
LU0290358224,Xtrackers Eurozone Inflation-Linked Bond UCITS ETF 1C,Bonds,Europe,7.89,Long-only
FR0011660927,Amundi MSCI World II UCITS ETF EUR Hedged Dist,Equity,World,14.58,Long-only
LU1169819635,UBS ETF (LU)  MSCI EMU UCITS ETF (hedged to CHF) A-acc,Equity,Europe,15.95,Long-only
IE00BZ0PKT83,iShares Edge MSCI World Multifactor UCITS ETF USD (Acc),Equity,World,15.28,Long-only
LU1781541096,Lyxor Core UK Equity All Cap (DR) UCITS ETF - Dist,Equity,,14.77,Long-only
IE00BDR55F85,UBS ETF (IE) MSCI ACWI Socially Responsible UCITS ETF (hedged to CHF) A-acc,Equity,World,16.8,Long-only
LU0290357929,Xtrackers II Global Inflation-Linked Bond UCITS ETF 1C - EUR Hedged,Bonds,World,8.64,Long-only
IE00BDR55471,UBS ETF (IE) MSCI ACWI Socially Responsible UCITS ETF (USD) A-acc,Equity,World,15.59,Long-only
FR0010790980,Amundi ETF STOXX Europe 50 UCITS ETF EUR (C),Equity,Europe,13.59,Long-only
CH0496454155,21Shares Binance BNB ETP,Cryptocurrencies,,59.91,Long-only
IE00BJK3WF00,JPMorgan BetaBuilders US Treasury Bond 0-1 yr UCITS ETF USD (Acc),Bonds,,7.93,Long-only
FR0013380607,Amundi CAC 40 UCITS ETF Acc,Equity,,18.2,Long-only
LU1598691217,Amundi Italy BTP Government Bond 10Y UCITS ETF Acc,Bonds,,10.91,Long-only
IE00BZ163L38,Vanguard USD Emerging Markets Government Bond UCITS ETF Distributing,Bonds,Emerging Markets,8.6,Long-only
DE0005933998,iShares STOXX Europe Mid 200 UCITS ETF (DE),Equity,Europe,16.07,Long-only
IE00BYTRR863,SPDR MSCI World Energy UCITS ETF,Equity,World,23.18,Long-only
LU0943504760,Xtrackers Swiss Large Cap UCITS ETF 1C,Equity,,12.78,Long-only
IE00BKP5L730,iShares J.P. Morgan ESG USD EM Bond UCITS ETF EUR Hedged (Acc),Bonds,Emerging Markets,10.97,Long-only
IE00B4WXJG34,iShares Euro Government Bond 5-7yr UCITS ETF,Bonds,Europe,6.21,Long-only
LU2089238898,Amundi Prime Euro Govies UCITS ETF DR (C),Bonds,Europe,7.16,Long-only
IE00B02KXM00,iShares EURO STOXX Small UCITS ETF,Equity,Europe,16.94,Long-only
IE00BDT6FP91,SPDR Refinitiv Global Convertible Bond EUR Hedged UCITS ETF,Bonds,World,11.06,Long-only
IE00BGDQ0L74,iShares European Property Yield UCITS ETF EUR (Acc),Real Estate,Europe,24.28,Long-only
LU1737652583,Amundi Index MSCI Emerging Markets UCITS ETF DR (D),Equity,Emerging Markets,14.62,Long-only
IE00BYXG2H39,iShares Nasdaq US Biotechnology UCITS ETF,Equity,,22.8,Long-only
DE0005933964,iShares SLI UCITS ETF (DE),Equity,,14.17,Long-only
JE00B78CGV99,WisdomTree Brent Crude Oil,Commodities,,34.23,Long-only
IE00BGBN6P67,Invesco CoinShares Global Blockchain UCITS ETF Acc,Equity,World,30.11,Long-only
IE00B6YX5M31,SPDR Bloomberg Euro High Yield Bond UCITS ETF,Bonds,Europe,4.4,Long-only
IE00BYWQWR46,VanEck Video Gaming and eSports UCITS ETF,Equity,World,22.7,Long-only
IE00BGYWCB81,Vanguard USD Emerging Markets Government Bond UCITS ETF Accumulating,Bonds,Emerging Markets,8.6,Long-only
IE00BZ048579,iShares USD Corporate Bond 0-3yr ESG UCITS ETF USD (Dist),Bonds,World,8.24,Long-only
JE00B1VS2W53,WisdomTree Physical Platinum,Precious Metals,,24.62,Long-only
LU0879397742,UBS ETF (LU) SBI Foreign AAA-BBB 1-5 ESG UCITS ETF (CHF) A-dis,Bonds,,6.72,Long-only
DE0002635281,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE),Equity,Europe,15.64,Long-only
IE00BSPLC413,SPDR MSCI USA Small Cap Value Weighted UCITS ETF,Equity,,22.19,Long-only
IE00B4694Z11,SPDR Bloomberg Sterling Corporate Bond UCITS ETF,Bonds,,10.03,Long-only
LU0136234068,UBS ETF (LU) EURO STOXX 50 UCITS ETF (EUR) A-dis,Equity,Europe,17.75,Long-only
IE00BQN1K562,iShares Edge MSCI Europe Quality Factor UCITS ETF,Equity,Europe,14.38,Long-only
LU1900066033,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,Equity,World,31.51,Long-only
IE00BJXRT698,SPDR Bloomberg 1-3 Month T-Bill UCITS ETF,Money Market,,7.92,Long-only
IE00BMVB5R75,Vanguard LifeStrategy 80% Equity UCITS ETF (EUR) Accumulating,Equity,World,10.69,"Long-only, Active"
IE00B40B8R38,iShares S&P 500 Consumer Staples Sector UCITS ETF,Equity,,15.4,Long-only
FR0012739431,BNP Paribas Easy EURO STOXX 50 UCITS ETF,Equity,Europe,17.78,Long-only
IE00BKX8G916,Invesco S&P 500 UCITS ETF GBP Hedged Acc,Equity,,20.91,Long-only
IE00B4KBBD01,iShares S&P 500 Utilities Sector UCITS ETF USD (Acc),Equity,,19.89,Long-only
LU0979892907,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (CHF) A-dis,Equity,,12.79,Long-only
IE00BHZRR147,Franklin FTSE China UCITS ETF,Equity,,25.77,Long-only
DE000A0H08M3,iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),Equity,Europe,22.26,Long-only
LU0950674761,UBS ETF (LU) MSCI EMU Socially Responsible UCITS ETF (EUR) A-acc,Equity,Europe,16.44,Long-only
IE00BNRQM384,Invesco Nasdaq-100 Swap UCITS ETF Acc,Equity,,24.33,Long-only
IE00BM67HW99,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,Equity,,19.4,Long-only
IE00BF0M2Z96,L&G Battery Value-Chain UCITS ETF,Equity,World,18.7,Long-only
IE00B7452L46,SPDR FTSE UK All Share UCITS ETF,Equity,,13.74,Long-only
IE00BK4W7N32,iShares USD Corporate Bond ESG UCITS ETF (Dist),Bonds,World,10.62,Long-only
DE000ETFL565,Deka MSCI Europe Climate Change ESG UCITS ETF,Equity,Europe,14.67,Long-only
LU0908501058,Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Acc,Equity,Europe,17.66,Long-only
IE00BQQP9G91,VanEck Junior Gold Miners UCITS,Equity,World,30.65,Long-only
LU2089238203,Amundi Prime Global UCITS ETF DR (C),Equity,World,15.39,Long-only
LU1681042948,Amundi PEA MSCI USA ESG Leaders UCITS ETF USD,Equity,,18.67,Long-only
IE00BGL86Z12,iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc),Equity,World,19.69,Long-only
IE00BFXR5W90,L&G Asia Pacific ex Japan Equity UCITS ETF,Equity,Asia & Pacific,14.39,Long-only
IE00BJ5JPH63,iShares J.P. Morgan USD EM Bond UCITS ETF (Acc),Bonds,Emerging Markets,11.14,Long-only
IE00B44T3H88,HSBC MSCI China UCITS ETF USD,Equity,,26.58,Long-only
GB00B15KYG56,WisdomTree Industrial Metals,Commodities,,21.99,Long-only
IE00B0M63623,iShares MSCI Taiwan UCITS ETF,Equity,,19.99,Long-only
IE00B02KXK85,iShares China Large Cap UCITS ETF,Equity,,29.67,Long-only
LU1390062831,Amundi US Inflation Expectations 10Y UCITS ETF Acc,Bonds,,9.36,Long-only
DE0002635265,iShares Pfandbriefe UCITS ETF (DE),Bonds,,4.3,Long-only
IE00BZ163K21,Vanguard USD Corporate Bond UCITS ETF Distributing,Bonds,World,10.23,Long-only
LU1291097779,BNP Paribas Easy MSCI Emerging ESG Filtered Min TE UCITS ETF,Equity,Emerging Markets,14.61,Long-only
IE00B02KXL92,iShares EURO STOXX Mid UCITS ETF,Equity,Europe,16.0,Long-only
LU0879399441,UBS ETF (LU) SBI Foreign AAA-BBB 5-10 ESG UCITS ETF (CHF) A-dis,Bonds,,8.57,Long-only
IE00BFZPF322,Invesco AT1 Capital Bond UCITS ETF Acc,Bonds,World,9.98,Long-only
IE00B4WXJH41,iShares Euro Government Bond 10-15yr UCITS ETF,Bonds,Europe,10.66,Long-only
FR0010245514,Amundi Japan TOPIX II UCITS ETF EUR Dist,Equity,,19.07,Long-only
IE00BJQRDN15,Invesco Quantitative Strategies ESG Global Equity Multi-Factor UCITS ETF Acc,Equity,World,15.62,"Long-only, Active"
IE00BZ56RG20,WisdomTree US Quality Dividend Growth UCITS ETF USD Acc,Equity,,16.24,Long-only
LU1974696418,UBS ETF (LU) J.P. Morgan USD EM IG ESG Diversified Bond UCITS ETF (hedged to EUR) A-acc,Bonds,Emerging Markets,9.82,Long-only
IE000HFXP0D2,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (dist),Equity,World,15.49,"Long-only, Active"
IE00BHXMHQ65,UBS ETF (IE) S&P 500 ESG UCITS ETF (hedged to EUR) A-acc,Equity,,19.71,Long-only
IE00BQQP9H09,VanEck Morningstar US Sustainable Wide Moat UCITS ETF,Equity,,18.44,Long-only
LU0659580079,Xtrackers MSCI Japan UCITS ETF 4C - EUR Hedged,Equity,,19.82,Long-only
IE00BP2C1V62,HSBC MSCI World Climate Paris Aligned UCITS ETF,Equity,World,16.18,Long-only
IE00BMY76136,Xtrackers MSCI World ESG UCITS ETF 2C EUR Hedged,Equity,World,17.56,Long-only
IE00BYYLVH00,UBS ETFs (IE) Bloomberg Commodity CMCI SF UCITS ETF (USD) A-acc,Commodities,,16.95,Long-only
IE00BSKRK281,iShares Euro Corporate Bond BBB-BB UCITS ETF,Bonds,Europe,4.27,Long-only
IE00BK5BC891,L&G Clean Water UCITS ETF,Equity,World,16.61,Long-only
LU1598689153,Amundi MSCI EMU Small Cap ESG CTB Net Zero Ambition UCITS ETF,Equity,Europe,16.76,Long-only
IE00B23D8S39,Invesco FTSE RAFI US 1000 UCITS ETF,Equity,,16.39,Long-only
LU1681038599,Amundi Nasdaq 100 UCITS ETF Daily Hedged EUR (C),Equity,,23.95,Long-only
LU1681039647,Amundi Index Euro Corporate SRI UCITS ETF 2 DR EUR (C),Bonds,World,4.65,Long-only
LU1287023003,Amundi Euro Government Bond 5-7Y UCITS ETF Acc,Bonds,Europe,6.12,Long-only
FR0010010827,Amundi FTSE MIB UCITS ETF Dist,Equity,,19.79,Long-only
IE00B5377D42,iShares MSCI Australia UCITS ETF,Equity,,17.49,Long-only
LU1681041890,Amundi MSCI Europe Quality Factor UCITS ETF EUR (C),Equity,Europe,14.54,Long-only
IE00BKWQ0L68,SPDR MSCI Europe Materials UCITS ETF,Equity,Europe,18.05,Long-only
LU0950672807,UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-acc,Equity,,14.63,Long-only
LU1681044308,Amundi MSCI Europe ex Switzerland ESG Leaders UCITS ETF DR (C),Equity,Europe,14.94,Long-only
IE00BNG8L278,Vanguard ESG Global All Cap UCITS ETF (USD) Accumulating,Equity,World,15.28,Long-only
IE00BMW42413,iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc),Equity,Europe,26.0,Long-only
IE00BG04M077,Xtrackers MSCI USA UCITS ETF 2C EUR Hedged,Equity,,19.78,Long-only
IE00BDR5HM97,Xtrackers USD High Yield Corporate Bond UCITS ETF 1D,Bonds,World,9.9,Long-only
DE000A28M8D0,VanEck Bitcoin ETN,Cryptocurrencies,,55.34,Long-only
IE00BF2GFH28,Invesco US Treasury Bond UCITS ETF Dist,Bonds,,10.21,Long-only
IE00BKT6FT27,iShares Global Government Bond UCITS ETF EUR Hedged (Dist),Bonds,World,9.88,Long-only
LU1230561679,UBS ETF (LU) MSCI Japan Socially Responsible UCITS ETF (JPY) A-dis,Equity,,17.76,Long-only
LU0322250712,Xtrackers LPX MM Private Equity Swap UCITS ETF 1C,Equity,World,23.05,Long-only
LU1646360971,Amundi MSCI EMU UCITS ETF Dist,Equity,Europe,17.54,Long-only
LU1233598447,Amundi Fed Funds US Dollar Cash UCITS ETF Acc,Money Market,,7.9,Long-only
LU1974694553,UBS ETF (LU) J.P. Morgan Global Government ESG Liquid Bond UCITS ETF (hedged to EUR) A-acc,Bonds,World,9.41,Long-only
LU0838782315,Xtrackers DAX ESG Screened UCITS ETF 1D,Equity,,17.21,Long-only
IE00B3SC9K16,UBS ETF (IE) MSCI USA SF UCITS ETF (USD) A-acc,Equity,,18.58,Long-only
IE00BL25JN58,Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,Equity,World,11.67,Long-only
IE00BKP5L623,iShares J.P. Morgan ESG USD EM Bond UCITS ETF CHF Hedged (Acc),Bonds,Emerging Markets,11.67,Long-only
IE00B4WPHX27,L&G Longer Dated All Commodities UCITS ETF,Commodities,,16.27,Long-only
LU0476289540,Xtrackers MSCI Canada ESG Screened UCITS ETF 1C,Equity,,16.09,Long-only
LU1287023342,Amundi Euro Highest Rated Macro-Weighted Government Bond UCITS ETF Acc,Bonds,Europe,7.44,Long-only
LU1681040900,Amundi Floating Rate USD Corporate ESG UCITS ETF USD (C),Bonds,World,7.87,Long-only
LU1048314196,UBS ETF (LU) Bloomberg Euro Area Liquid Corporates 1-5 Year UCITS ETF (EUR) A-dis,Bonds,Europe,3.05,Long-only
IE00BNGFMY78,Fidelity Sustainable Research Enhanced Pacific ex-Japan Equity UCITS ETF Acc,Equity,Asia & Pacific,14.74,"Long-only, Active"
IE00BD3RYZ16,iShares OMX Stockholm Capped UCITS ETF,Equity,,21.2,Long-only
IE00BHZPJ346,iShares MSCI Japan ESG Enhanced UCITS ETF USD (Dist),Equity,,19.49,Long-only
IE00BGJWWY63,Invesco Euro Government Bond 1-3 Year UCITS ETF Dist,Bonds,Europe,1.9,Long-only
IE00BK5BQZ41,Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF (USD) Accumulating,Equity,Asia & Pacific,14.95,Long-only
IE00BFXR5T61,L&G Japan Equity UCITS ETF,Equity,,19.59,Long-only
IE00BYZK4669,iShares Ageing Population UCITS ETF,Equity,World,14.76,Long-only
IE00B14X4T88,iShares Asia Pacific Dividend UCITS ETF,Equity,Asia & Pacific,13.49,Long-only
LU1681049109,Amundi S&P 500 UCITS ETF Daily Hedged EUR (C),Equity,,18.14,Long-only
LU1681048630,Amundi S&P Global Luxury UCITS ETF EUR (C),Equity,World,20.3,Long-only
IE00BFM6TB42,iShares Global Corporate Bond UCITS ETF USD (Acc),Bonds,World,9.25,Long-only
LU2233156749,Amundi Index MSCI Japan SRI PAB UCITS ETF DR (C),Equity,,17.47,Long-only
IE00BK95B138,iShares USD Treasury Bond UCITS ETF USD (Dist),Bonds,,10.48,Long-only
IE00BM67HV82,Xtrackers MSCI World Industrials UCITS ETF 1C,Equity,World,14.62,Long-only
IE00BFWXDY69,Franklin Euro Short Maturity UCITS ETF (Dis),Bonds,World,0.54,"Long-only, Active"
IE00BWBXM500,SPDR S&P US Financials Select Sector UCITS ETF,Equity,,18.93,Long-only
IE000U7L59A3,iShares MSCI USA ESG Enhanced UCITS ETF EUR Hedged (Acc),Equity,,20.13,Long-only
LU1169820997,UBS ETF (LU) MSCI United Kingdom UCITS ETF (hedged to CHF) A-acc,Equity,,13.07,Long-only
IE00BWBXM617,SPDR S&P US Health Care Select Sector UCITS ETF,Equity,,15.69,Long-only
LU2089238625,Amundi EUR Corporate Bond UCITS ETF DR EUR (C),Bonds,World,4.55,Long-only
IE00BKWQ0G16,SPDR MSCI Europe Financials UCITS ETF,Equity,Europe,18.67,Long-only
IE00B3S5XW04,SPDR Bloomberg Euro Government Bond UCITS ETF (Dist),Bonds,Europe,7.24,Long-only
IE00BD8PH067,iShares USD Treasury Bond 20+ UCITS ETF CHF Hedged (Dist),Bonds,,21.55,Long-only
IE00BSKRJX20,iShares EUR Government Bond 20yr Target Duration UCITS ETF EUR (Dist),Bonds,Europe,17.62,Long-only
LU0641006613,Xtrackers Global Government Bond UCITS ETF 4C CHF hedged,Bonds,World,9.05,Long-only
IE00BFNM3C07,iShares MSCI EMU ESG Screened UCITS ETF EUR (Dist),Equity,Europe,16.64,Long-only
IE00B78JSG98,UBS ETF (IE) MSCI USA Value UCITS ETF (USD) A-dis,Equity,,15.5,Long-only
IE00BD1F4N50,iShares Edge MSCI USA Momentum Factor UCITS ETF,Equity,,20.92,Long-only
IE00BCLWRG39,iShares MSCI Japan USD Hedged UCITS ETF (Acc),Equity,,20.16,Long-only
IE00BZ173T46,iShares MSCI USA SRI UCITS ETF USD (Dist),Equity,,18.19,Long-only
DE0002635299,iShares STOXX Europe Select Dividend 30 UCITS ETF (DE),Equity,Europe,15.17,Long-only
IE00BKW9SW28,Invesco GBP Corporate Bond UCITS ETF Dist,Bonds,World,9.91,Long-only
IE00BFNM3M05,iShares MSCI Japan ESG Screened UCITS ETF USD (Dist),Equity,,19.88,Long-only
IE00BGQYRR35,Xtrackers MSCI USA Consumer Discretionary UCITS ETF 1D,Equity,,27.16,Long-only
LU2069380306,Ossiam Euro Government Bonds 3-5Y Carbon Reduction UCITS ETF,Bonds,Europe,4.07,Long-only
IE00BKLC5874,iShares EUR High Yield Corporate Bond ESG UCITS ETF EUR (Dist),Bonds,World,3.82,Long-only
IE00B0M62V02,iShares Euro Total Market Growth Large UCITS ETF,Equity,Europe,19.97,Long-only
IE00BYYR0489,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),Equity,,16.44,Long-only
IE00BMVB5P51,Vanguard LifeStrategy 60% Equity UCITS ETF Accumulating,Equity,World,8.44,"Long-only, Active"
LU1248511575,Lyxor Smart Overnight Return UCITS ETF C-USD,Money Market,World,7.92,"Long-only, Active"
IE00B42YS929,iShares MSCI World GBP Hedged UCITS ETF (Acc),Equity,World,16.12,Long-only
IE00B48X4842,SPDR MSCI Emerging Markets Small Cap UCITS ETF,Equity,Emerging Markets,12.39,Long-only
IE00BMDFDY08,iShares USD High Yield Corporate Bond ESG UCITS ETF EUR Hedged (Acc),Bonds,World,9.78,Long-only
LU0322252338,Xtrackers MSCI Pacific ex Japan ESG Screened UCITS ETF 1C,Equity,Asia & Pacific,14.6,Long-only
IE00BGR7L912,iShares USD Treasury Bond 0-1yr UCITS ETF USD (Dist),Bonds,,8.67,Long-only
LU1291098827,BNP Paribas Easy MSCI EMU ESG Filtered Min TE UCITS ETF,Equity,Europe,16.86,Long-only
IE00B44CND37,SPDR Bloomberg US Treasury Bond UCITS ETF,Bonds,,10.21,Long-only
LU1900068328,Amundi MSCI AC Asia Pacific Ex Japan UCITS ETF Acc,Equity,Asia & Pacific,15.85,Long-only
IE00BM67HX07,Xtrackers S&P 500 UCITS ETF 2C GBP hedged,Equity,,20.97,Long-only
IE00BK7Y2P34,iShares Global Government Bond UCITS ETF USD Hedged (Acc),Bonds,World,9.54,Long-only
IE00B6R52143,iShares Agribusiness UCITS ETF,Equity,World,17.25,Long-only
JE00B8DFY052,WisdomTree Physical Gold - EUR Daily Hedged,Precious Metals,,13.5,Long-only
LU2297533809,Amundi Index US Corporate SRI UCITS ETF DR Hedged EUR (D),Bonds,World,11.33,Long-only
FR0010375766,Amundi MSCI India II UCITS ETF USD Acc,Equity,,15.71,Long-only
IE00B1FZS244,iShares Asia Property Yield UCITS ETF,Real Estate,Asia & Pacific,12.63,Long-only
IE00BKVL7331,iShares Edge MSCI USA Minimum Volatility ESG UCITS ETF,Equity,,15.38,Long-only
GB00B5840F36,Xtrackers Physical Gold ETC,Precious Metals,,14.5,Long-only
DE000ETFL482,Deka Euro iSTOXX ex Fin Dividend Plus UCITS ETF,Equity,Europe,13.83,Long-only
LU1437016204,Amundi Index J.P. Morgan GBI Global Government Bonds UCITS ETF DR (C),Bonds,World,7.03,Long-only
IE00BF59RX87,JPMorgan EUR Corporate Bond Research Enhanced Index (ESG) UCITS ETF,Bonds,World,4.66,"Long-only, Active"
IE00BMYDM794,L&G Hydrogen Economy UCITS ETF USD Acc,Equity,World,23.97,Long-only
LU1681040496,Amundi Euro High Yield Bond ESG UCITS ETF EUR (C),Bonds,World,3.55,Long-only
IE00BKPT2S34,iShares Global Inflation Linked Government Bond UCITS ETF EUR Hedged (Acc),Bonds,World,12.28,Long-only
IE00BDDRDY39,JPMorgan USD Emerging Markets Sovereign Bond UCITS ETF - EUR Hedged (acc),Bonds,Emerging Markets,10.91,Long-only
IE00BKSCBX74,UBS ETF (IE) MSCI World Small Cap Socially Responsible UCITS ETF (USD) A-acc,Equity,World,16.88,Long-only
IE00BKPT2T41,iShares J.P. Morgan ESG USD EM Investment Grade Bond UCITS ETF USD (Acc),Bonds,Emerging Markets,8.84,Long-only
IE00BKPSFD61,iShares China CNY Bond UCITS ETF USD (Acc),Bonds,,7.04,Long-only
IE00BKWQ0J47,SPDR MSCI Europe Industrials UCITS ETF,Equity,Europe,18.14,Long-only
LU1681038672,Amundi Russell 2000 UCITS ETF EUR (C),Equity,,22.53,Long-only
LU2233156582,Amundi Prime Euro Government Bonds 0-1Y UCITS ETF DR (C),Bonds,Europe,0.4,Long-only
DE000A0D8Q49,iShares Dow Jones US Select Dividend UCITS ETF (DE),Equity,,16.56,Long-only
IE00BKF09C98,iShares USD High Yield Corporate Bond ESG UCITS ETF USD (Dist),Bonds,World,8.32,Long-only
LU0942970798,Xtrackers II ESG Global Aggregate Bond UCITS ETF 5C EUR hedged,Bonds,World,9.42,Long-only
IE00B43QJJ40,SPDR Bloomberg Global Aggregate Bond UCITS ETF,Bonds,World,8.51,Long-only
LU1589349734,Amundi MSCI USA Minimum Volatility Factor UCITS ETF DR,Equity,,14.92,Long-only
IE00B52MJD48,iShares Nikkei 225 UCITS ETF (Acc),Equity,,19.5,Long-only
IE00BF1B7389,SPDR MSCI ACWI UCITS ETF EUR Hedged (Acc),Equity,World,15.57,Long-only
IE00BJSFR200,iShares Global High Yield Corporate Bond UCITS ETF EUR Hedged (Dist),Bonds,World,9.06,Long-only
IE00BJXT3B87,UBS ETF (IE) MSCI USA Socially Responsible UCITS ETF (USD) A-dis,Equity,,19.93,Long-only
DE000A0Q4R02,iShares STOXX Europe 600 Utilities UCITS ETF (DE),Equity,Europe,16.18,Long-only
LU1446552652,Ossiam Shiller Barclays CAPE® US Sector Value TR UCITS ETF 1C (EUR Hedged),Equity,,20.09,Long-only
DE000ETFL375,Deka iBoxx EUR Liquid Corporates Diversified UCITS ETF,Bonds,World,4.64,Long-only
IE00BCBJF711,SPDR Bloomberg 0-5 Year Sterling Corporate Bond UCITS ETF,Bonds,,6.47,Long-only
IE00BNGJJT35,Invesco S&P 500 Equal Weight UCITS ETF Acc,Equity,,17.64,Long-only
IE00BFD2H405,First Trust Cloud Computing UCITS ETF Acc,Equity,World,31.7,Long-only
CH0454664027,21Shares Ethereum Staking ETP,Cryptocurrencies,,66.96,Long-only
LU2355200796,Amundi Index J.P. Morgan GBI Global Govies UCITS ETF DR Hedged GBP (D),Bonds,World,8.14,Long-only
IE00BMWXKN31,HSBC Hang Seng TECH UCITS ETF HKD,Equity,,38.88,Long-only
IE00B428Z604,iShares Spain Government Bond UCITS ETF EUR (Dist),Bonds,,7.08,Long-only
IE00BKSBGS44,Fidelity Sustainable Research Enhanced US Equity UCITS ETF Acc,Equity,,18.5,"Long-only, Active"
IE00BDZVH966,iShares USD TIPS UCITS ETF EUR Hedged (Acc),Bonds,,10.94,Long-only
IE00B27YCK28,iShares MSCI EM Latin America UCITS ETF (Dist),Equity,Latin America,21.82,Long-only
IE00B3WMTH43,Invesco US Health Care Sector UCITS ETF,Equity,,15.76,Long-only
IE00BYVTMT69,Invesco Nasdaq-100 UCITS ETF CHF Hedged,Equity,,25.37,Long-only
IE00B3F81G20,iShares MSCI Emerging Markets Small Cap UCITS ETF,Equity,Emerging Markets,12.94,Long-only
LU2611731824,Amundi NYSE Arca Gold Bugs UCITS ETF Dist,Equity,World,26.89,Long-only
DE0006289499,iShares eb.rexx Government Germany 5.5-10.5yr UCITS ETF (DE),Bonds,,7.23,Long-only
LU0908508731,Xtrackers Global Government Bond UCITS ETF 5C,Bonds,World,6.82,Long-only
IE00BHZRR253,Franklin Sustainable Euro Green Bond UCITS ETF,Bonds,Europe,6.06,"Long-only, Active"
IE00BPVLQD13,Xtrackers MSCI Japan ESG Screened UCITS ETF 1D,Equity,,19.6,Long-only
LU0322252171,Xtrackers MSCI AC Asia ex Japan ESG Swap UCITS ETF 1C,Equity,Asia & Pacific,17.34,Long-only
LU0641006456,Xtrackers Global Government Bond UCITS ETF 3C USD hedged,Bonds,World,9.6,Long-only
IE00BDR55703,UBS ETF (IE) MSCI ACWI Socially Responsible UCITS ETF (hedged to USD) A-acc,Equity,World,15.45,Long-only
IE00BZ173V67,iShares MSCI USA SRI UCITS ETF EUR Hedged (Dist),Equity,,19.52,Long-only
LU1737652310,Amundi Index MSCI Europe UCITS ETF DR EUR (D),Equity,Europe,14.12,Long-only
IE00BYM31M36,iShares Fallen Angels High Yield Corporate Bond UCITS ETF,Bonds,World,7.36,Long-only
IE00BMDPBZ72,Franklin S&P 500 Paris Aligned Climate UCITS ETF,Equity,,19.03,Long-only
LU1602144906,Amundi Index MSCI Pacific ex Japan SRI PAB UCITS ETF DR EUR (C),Equity,Asia & Pacific,14.33,Long-only
FR0007056841,Amundi Dow Jones Industrial Average UCITS ETF Dist,Equity,,15.0,Long-only
NL0009272749,VanEck AEX UCITS ETF,Equity,,16.18,Long-only
LU0321465469,Xtrackers II USD Overnight Rate Swap UCITS ETF 1C,Money Market,,7.9,Long-only
IE00BDQZN337,UBS ETF (IE) MSCI ACWI ESG Universal UCITS ETF (hedged to EUR) A-acc,Equity,World,15.93,Long-only
LU1650492173,Amundi FTSE 100 UCITS ETF Acc,Equity,,13.79,Long-only
DE000ETFL268,Deka MSCI USA UCITS ETF,Equity,,18.48,Long-only
IE00BGQYRQ28,Xtrackers MSCI USA Consumer Staples UCITS ETF 1D,Equity,,15.21,Long-only
IE00BF3N6Y61,iShares USD Corporate Bond UCITS ETF EUR Hedged (Dist),Bonds,World,12.95,Long-only
